id,pack,category,placement,profile,wave,method,anchor,subject,acceptance
atelier-master,atelier,environment,environment-window,scene,P2,generate,,warm drafting room with a walnut desk and soft lamp near an open courtyard,The room reads as an artist workspace; no device brand or rendered text.
atelier-hero,atelier,environment,workspace-header,hero,P2,derive,atelier-master,Wide header adaptation of warm drafting room with a walnut desk and soft lamp near an open courtyard,Preserve the approved world and empty heading zone at desktop and narrow crops.
atelier-wall,atelier,environment,sidebar-wall,wall,P2,edit,atelier-master,Quiet panel wall extracted from the approved environment,No high-contrast edge crosses a control; center stays low-detail.
atelier-quiet,atelier,environment,still-alternative,quiet,P2,edit,atelier-master,Quiet morning counterpart of the same room with unchanged camera,Switching to this still does not imply a failed connection or a different location.
atelier-poster,atelier,environment,media-fallback,poster,P2,derive,atelier-master,Local still fallback for the accepted environment,Matches the anchor composition; requires no remote resource.
atelier-layer-far,atelier,environment,parallax-far,layer,P3,edit,atelier-master,Architecture and distant sky with hidden regions filled from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
atelier-layer-mid,atelier,environment,parallax-mid,layer,P3,edit,atelier-master,Desk or cabinets separated from background from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
atelier-layer-near,atelier,environment,parallax-near,layer,P3,edit,atelier-master,Sparse foreground frame or foliage on true alpha from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
atelier-loop,atelier,environment,ambient-window,loop,P3,animate,atelier-master,Subtle local environmental loop of warm drafting room with a walnut desk and soft lamp near an open courtyard,Fixed camera; seamless boundary; no new objects; matching poster accompanies video.
atelier-card,atelier,environment,skin-picker,card,P2,derive,atelier-master,Recognizable thumbnail crop of the approved world,Readable at 96px without overlaid text or imitation UI.
arcade-master,arcade,environment,environment-window,scene,P2,generate,,indigo arcade repair room with two abstract illuminated cabinets and distant grid horizon,Cabinets remain original and unbranded; glow stays away from the text-safe wall.
arcade-hero,arcade,environment,workspace-header,hero,P2,derive,arcade-master,Wide header adaptation of indigo arcade repair room with two abstract illuminated cabinets and distant grid horizon,Preserve the approved world and empty heading zone at desktop and narrow crops.
arcade-wall,arcade,environment,sidebar-wall,wall,P2,edit,arcade-master,Quiet panel wall extracted from the approved environment,No high-contrast edge crosses a control; center stays low-detail.
arcade-quiet,arcade,environment,still-alternative,quiet,P2,edit,arcade-master,Quiet morning counterpart of the same room with unchanged camera,Switching to this still does not imply a failed connection or a different location.
arcade-poster,arcade,environment,media-fallback,poster,P2,derive,arcade-master,Local still fallback for the accepted environment,Matches the anchor composition; requires no remote resource.
arcade-layer-far,arcade,environment,parallax-far,layer,P3,edit,arcade-master,Architecture and distant sky with hidden regions filled from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
arcade-layer-mid,arcade,environment,parallax-mid,layer,P3,edit,arcade-master,Desk or cabinets separated from background from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
arcade-layer-near,arcade,environment,parallax-near,layer,P3,edit,arcade-master,Sparse foreground frame or foliage on true alpha from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
arcade-loop,arcade,environment,ambient-window,loop,P3,animate,arcade-master,Subtle local environmental loop of indigo arcade repair room with two abstract illuminated cabinets and distant grid horizon,Fixed camera; seamless boundary; no new objects; matching poster accompanies video.
arcade-card,arcade,environment,skin-picker,card,P2,derive,arcade-master,Recognizable thumbnail crop of the approved world,Readable at 96px without overlaid text or imitation UI.
sakura-master,sakura,environment,environment-window,scene,P2,generate,,dark timber illustration room looking onto a blossom courtyard after rain,"Petals are sparse, architecture readable and the left wall nearly empty."
sakura-hero,sakura,environment,workspace-header,hero,P2,derive,sakura-master,Wide header adaptation of dark timber illustration room looking onto a blossom courtyard after rain,Preserve the approved world and empty heading zone at desktop and narrow crops.
sakura-wall,sakura,environment,sidebar-wall,wall,P2,edit,sakura-master,Quiet panel wall extracted from the approved environment,No high-contrast edge crosses a control; center stays low-detail.
sakura-quiet,sakura,environment,still-alternative,quiet,P2,edit,sakura-master,Quiet morning counterpart of the same room with unchanged camera,Switching to this still does not imply a failed connection or a different location.
sakura-poster,sakura,environment,media-fallback,poster,P2,derive,sakura-master,Local still fallback for the accepted environment,Matches the anchor composition; requires no remote resource.
sakura-layer-far,sakura,environment,parallax-far,layer,P3,edit,sakura-master,Architecture and distant sky with hidden regions filled from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
sakura-layer-mid,sakura,environment,parallax-mid,layer,P3,edit,sakura-master,Desk or cabinets separated from background from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
sakura-layer-near,sakura,environment,parallax-near,layer,P3,edit,sakura-master,Sparse foreground frame or foliage on true alpha from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
sakura-loop,sakura,environment,ambient-window,loop,P3,animate,sakura-master,Subtle local environmental loop of dark timber illustration room looking onto a blossom courtyard after rain,Fixed camera; seamless boundary; no new objects; matching poster accompanies video.
sakura-card,sakura,environment,skin-picker,card,P2,derive,sakura-master,Recognizable thumbnail crop of the approved world,Readable at 96px without overlaid text or imitation UI.
retro-anime-master,retro-anime,environment,environment-window,scene,P0,generate,,Night Shift animation workshop over a rain-washed city and distant rail line,Original retro-anime environment; quiet left wall and distant movement at right.
retro-anime-hero,retro-anime,environment,workspace-header,hero,P0,derive,retro-anime-master,Wide header adaptation of Night Shift animation workshop over a rain-washed city and distant rail line,Preserve the approved world and empty heading zone at desktop and narrow crops.
retro-anime-wall,retro-anime,environment,sidebar-wall,wall,P0,edit,retro-anime-master,Quiet panel wall extracted from the approved environment,No high-contrast edge crosses a control; center stays low-detail.
retro-anime-quiet,retro-anime,environment,still-alternative,quiet,P0,edit,retro-anime-master,Quiet morning counterpart of the same room with unchanged camera,Switching to this still does not imply a failed connection or a different location.
retro-anime-poster,retro-anime,environment,media-fallback,poster,P0,derive,retro-anime-master,Local still fallback for the accepted environment,Matches the anchor composition; requires no remote resource.
retro-anime-layer-far,retro-anime,environment,parallax-far,layer,P1,edit,retro-anime-master,Architecture and distant sky with hidden regions filled from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
retro-anime-layer-mid,retro-anime,environment,parallax-mid,layer,P1,edit,retro-anime-master,Desk or cabinets separated from background from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
retro-anime-layer-near,retro-anime,environment,parallax-near,layer,P1,edit,retro-anime-master,Sparse foreground frame or foliage on true alpha from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
retro-anime-loop,retro-anime,environment,ambient-window,loop,P1,animate,retro-anime-master,Subtle local environmental loop of Night Shift animation workshop over a rain-washed city and distant rail line,Fixed camera; seamless boundary; no new objects; matching poster accompanies video.
retro-anime-card,retro-anime,environment,skin-picker,card,P0,derive,retro-anime-master,Recognizable thumbnail crop of the approved world,Readable at 96px without overlaid text or imitation UI.
minimal-pro-master,minimal-pro,environment,environment-window,scene,P2,generate,,graphite paper-and-light workspace with one pale desk and diffuse skylight,Neutral surfaces remain useful under any accent color; no ornament competing with work.
minimal-pro-hero,minimal-pro,environment,workspace-header,hero,P2,derive,minimal-pro-master,Wide header adaptation of graphite paper-and-light workspace with one pale desk and diffuse skylight,Preserve the approved world and empty heading zone at desktop and narrow crops.
minimal-pro-wall,minimal-pro,environment,sidebar-wall,wall,P2,edit,minimal-pro-master,Quiet panel wall extracted from the approved environment,No high-contrast edge crosses a control; center stays low-detail.
minimal-pro-quiet,minimal-pro,environment,still-alternative,quiet,P2,edit,minimal-pro-master,Quiet morning counterpart of the same room with unchanged camera,Switching to this still does not imply a failed connection or a different location.
minimal-pro-poster,minimal-pro,environment,media-fallback,poster,P2,derive,minimal-pro-master,Local still fallback for the accepted environment,Matches the anchor composition; requires no remote resource.
minimal-pro-layer-far,minimal-pro,environment,parallax-far,layer,P3,edit,minimal-pro-master,Architecture and distant sky with hidden regions filled from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
minimal-pro-layer-mid,minimal-pro,environment,parallax-mid,layer,P3,edit,minimal-pro-master,Desk or cabinets separated from background from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
minimal-pro-layer-near,minimal-pro,environment,parallax-near,layer,P3,edit,minimal-pro-master,Sparse foreground frame or foliage on true alpha from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
minimal-pro-loop,minimal-pro,environment,ambient-window,loop,P3,animate,minimal-pro-master,Subtle local environmental loop of graphite paper-and-light workspace with one pale desk and diffuse skylight,Fixed camera; seamless boundary; no new objects; matching poster accompanies video.
minimal-pro-card,minimal-pro,environment,skin-picker,card,P2,derive,minimal-pro-master,Recognizable thumbnail crop of the approved world,Readable at 96px without overlaid text or imitation UI.
sci-fi-noir-master,sci-fi-noir,environment,environment-window,scene,P2,generate,,shadowed observatory workshop with weathered steel and a remote orbital horizon,Distant instruments are nonsemantic shapes; no fake readouts or recognizable franchise props.
sci-fi-noir-hero,sci-fi-noir,environment,workspace-header,hero,P2,derive,sci-fi-noir-master,Wide header adaptation of shadowed observatory workshop with weathered steel and a remote orbital horizon,Preserve the approved world and empty heading zone at desktop and narrow crops.
sci-fi-noir-wall,sci-fi-noir,environment,sidebar-wall,wall,P2,edit,sci-fi-noir-master,Quiet panel wall extracted from the approved environment,No high-contrast edge crosses a control; center stays low-detail.
sci-fi-noir-quiet,sci-fi-noir,environment,still-alternative,quiet,P2,edit,sci-fi-noir-master,Quiet morning counterpart of the same room with unchanged camera,Switching to this still does not imply a failed connection or a different location.
sci-fi-noir-poster,sci-fi-noir,environment,media-fallback,poster,P2,derive,sci-fi-noir-master,Local still fallback for the accepted environment,Matches the anchor composition; requires no remote resource.
sci-fi-noir-layer-far,sci-fi-noir,environment,parallax-far,layer,P3,edit,sci-fi-noir-master,Architecture and distant sky with hidden regions filled from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
sci-fi-noir-layer-mid,sci-fi-noir,environment,parallax-mid,layer,P3,edit,sci-fi-noir-master,Desk or cabinets separated from background from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
sci-fi-noir-layer-near,sci-fi-noir,environment,parallax-near,layer,P3,edit,sci-fi-noir-master,Sparse foreground frame or foliage on true alpha from the same approved scene,Exact common canvas and registration; composite reproduces the anchor without holes.
sci-fi-noir-loop,sci-fi-noir,environment,ambient-window,loop,P3,animate,sci-fi-noir-master,Subtle local environmental loop of shadowed observatory workshop with weathered steel and a remote orbital horizon,Fixed camera; seamless boundary; no new objects; matching poster accompanies video.
sci-fi-noir-card,sci-fi-noir,environment,skin-picker,card,P2,derive,sci-fi-noir-master,Recognizable thumbnail crop of the approved world,Readable at 96px without overlaid text or imitation UI.
workflow-create,shared,workflow,task-picker,workflow,P0,generate,,A blank frame receiving a small pool of light,Concept of starting from words without pretending a model result exists.
workflow-edit,shared,workflow,task-picker,workflow,P2,generate,,An original scene with one small highlighted replaceable section,Keep/change distinction is clear without implying protected pixels.
workflow-combine,shared,workflow,task-picker,workflow,P0,generate,,Three distinct image frames meeting around one empty destination,Roles remain distinct; no implied unrestricted reference count.
workflow-pose,shared,workflow,task-picker,workflow,P0,generate,,A character silhouette beside a separate geometric pose sketch,Geometry and identity are visibly different inputs.
workflow-sheet,shared,workflow,task-picker,workflow,P2,generate,,An original adult explorer in three controlled view frames,Use the same canon; caption as illustrative rather than tested consistency.
workflow-repair,shared,workflow,task-picker,workflow,P2,generate,,A magnified fabric seam beside its unchanged surrounding frame,"Clearly local repair concept, not a fictional functioning brush tool."
workflow-upscale,shared,workflow,task-picker,workflow,P2,generate,,One small square and a larger structured detail frame,No invented before/after quality improvement claim.
workflow-animate,shared,workflow,task-picker,workflow,P2,generate,,A still frame and three restrained motion-position markers,No fake frame-rate or generation-performance labels.
workflow-sequence,shared,workflow,task-picker,workflow,P2,generate,,Three ordered clip frames with a quiet timing ribbon,Order is readable through shapes; real timing labels remain HTML.
workflow-compare,shared,workflow,task-picker,workflow,P2,generate,,Two equally prominent frames over a shared source card,No star rating or winner implied by brighter styling.
workflow-review,shared,workflow,task-picker,workflow,P2,generate,,A large image frame next to a neutral checklist motif,"Inspection, not automatic approval."
workflow-export,shared,workflow,task-picker,workflow,P2,generate,,A coherent set of frames placed inside an open folio,No fake file format logos or unsupported delivery claim.
workflow-workflow,shared,workflow,task-picker,workflow,P2,generate,,Three original node blocks with a selected connection,Concept only; no fabricated ComfyUI node schema.
workflow-model,shared,workflow,task-picker,workflow,P2,generate,,One core module with two distinct attachable guide modules,Architecture-specific compatibility is not implied by the illustration.
workflow-recover,shared,workflow,task-picker,workflow,P0,generate,,An intact folder and a detached receipt returning to its slot,"Continuity and preservation, not duplicate execution."
workflow-voice-3d,shared,workflow,task-picker,workflow,P2,generate,,A simple waveform beside an untextured geometric study,Separate tool concepts without a fake common generation control.
